player_id,name,role,team
2273,Caracciolo A.,D,Pisa
7140,Coppola F.,D,Pisa
6411,Mateus Lusuardi,D,Pisa
7170,Mbambi,D,Pisa
7141,Rus,D,Pisa
2745,Calabresi,D,Pisa
7142,Esteves T.,D,Pisa
7143,Angori,D,Pisa
7145,Piccinini G.,C,Pisa
7146,Tourè I.,C,Pisa
7147,Hojholt,C,Pisa
7149,Marin M.,C,Pisa
7150,Vural,C,Pisa
6593,Akinsanmiro,C,Pisa
2334,Leris,C,Pisa
7151,Arena,C,Pisa
5318,Tramoni M.,C,Pisa
7171,Buffon L.,A,Pisa
5455,Moreo,A,Pisa
7152,Bonfanti N.,A,Pisa
7153,Lind,A,Pisa
6836,Meister,A,Pisa
7169,Zelezny,P,Roma
610,Gollini,P,Roma
5841,Svilar,P,Roma
4807,Hermoso,D,Roma
4495,Kumbulla,D,Roma
2296,Mancini,D,Roma
4317,N'Dicka,D,Roma
4657,Celik,D,Roma
6986,Rensch,D,Roma
6885,Abdulhamid,D,Roma
7020,Salah-Eddine,D,Roma
4772,Angelino,D,Roma
7181,Wesley,D,Roma
779,Cristante,C,Roma
6271,El Aynaoui,C,Roma
5589,Konè M.,C,Roma
6190,Pisilli,C,Roma
530,Pellegrini Lo.,C,Roma
795,El Shaarawy,C,Roma
5823,Baldanzi,C,Roma
5734,Soulè,A,Roma
309,Dybala,A,Roma
6675,Dovbyk,A,Roma
6365,Ferguson E.,A,Roma
4518,Russo A.,P,Sassuolo
2127,Satalino,P,Sassuolo
4867,Turati,P,Sassuolo
7155,Muharemovic,D,Sassuolo
7154,Odenthal,D,Sassuolo
2279,Romagna,D,Sassuolo
4374,Walukiewicz,D,Sassuolo
6189,Missori,D,Sassuolo
6431,Paz Y.,D,Sassuolo
5851,Doig,D,Sassuolo
7156,Pieragnolo,D,Sassuolo
6219,Boloca,C,Sassuolo
4930,Ghion,C,Sassuolo
6717,Konè I.,C,Sassuolo
6246,Lipani,C,Sassuolo
7157,Iannoni,C,Sassuolo
5844,Thorstvedt,C,Sassuolo
6815,Fadera,C,Sassuolo
5735,Volpato,C,Sassuolo
1842,Pierini,A,Sassuolo
531,Berardi,A,Sassuolo
6060,Laurientè,A,Sassuolo
5845,Alvarez A.,A,Sassuolo
7158,Moro L.,A,Sassuolo
6205,Mulattieri,A,Sassuolo
2038,Pinamonti,A,Sassuolo
7159,Skjellerup,A,Sassuolo
216,Donnarumma An.,P,Torino
7179,Israel,P,Torino
5320,Paleari,P,Torino
6210,Popa,P,Torino
6642,Coco,D,Torino
5010,Ismajli,D,Torino
4665,Maripan,D,Torino
6041,Schuurs,D,Torino
49,Masina,D,Torino
6826,Dembelè A.,D,Torino
4385,Lazaro,D,Torino
6426,Pedersen,D,Torino
252,Biraghi,D,Torino
4890,Tameze,C,Torino
6170,Gineitis,C,Torino
5007,Ilic,C,Torino
5888,Casadei,C,Torino
6889,Anjorin,C,Torino
5687,Vlasic,C,Torino
6145,Ngonge,A,Torino
6646,Adams C.,A,Torino
6827,Njie,A,Torino
479,Sanabria,A,Torino
608,Zapata D.,A,Torino
6462,Okoye,P,Udinese
543,Padelli,P,Udinese
6842,Sava,P,Udinese
5820,Bertola,D,Udinese
6533,Giannetti L.,D,Udinese
4263,Kabasele,D,Udinese
6925,Palma,D,Udinese
6956,Solet,D,Udinese
6485,Kristensen T.,D,Udinese
6047,Ehizibue,D,Udinese
5555,Kamara H.,D,Udinese
6211,Zemura,D,Udinese
6900,Rui Modesto,D,Udinese
6680,Karlstrom,C,Udinese
6212,Zarraga,C,Udinese
6908,Atta,C,Udinese
5850,Lovric,C,Udinese
6481,Payero,C,Udinese
6684,Ekkelenkamp,C,Udinese
5824,Pafundi,C,Udinese
6653,Bravo,A,Udinese
6213,Brenner,A,Udinese
2475,Sanchez,A,Udinese
2369,Thauvin,A,Udinese
7161,Bayo V.,A,Udinese
5637,Davis K.,A,Udinese
6635,Pizarro,A,Udinese
4957,Montipò,P,Verona
511,Perilli,P,Verona
6631,Ghilardi,D,Roma
7011,Slotsager,D,Verona
6894,Unai Nunez,D,Verona
6957,Valentini N.,D,Verona
5994,Ebosse,D,Verona
6992,Oyegoke,D,Verona
6480,Tchatchoua,D,Verona
6639,Frese,D,Verona
5540,Niasse,C,Verona
7028,Bernede,C,Verona
7177,Santiago,C,Verona
6458,Serdar,C,Verona
2117,Kastanos,C,Verona
6618,Cissè A.,C,Verona
5688,Harroui,C,Verona
6486,Suslov,C,Verona
7162,Giovane,A,Verona
6159,Sarr A.,A,Verona
6630,Mosquera,A,Verona
6644,Rocha Livramento,A,Verona
6125,Vasquez D.,P,Roma
5750,Ostigard,D,Genoa
7183,Aboukhlal,A,Torino
7185,Nunziante,P,Udinese
1976,Mazzitelli,C,Cagliari
6869,Ramon,D,Como
158,Lezzerini,P,Fiorentina
7196,Denoon,D,Pisa
7198,Piotrowski,C,Udinese
7199,Kilicsoy,A,Cagliari
5532,Bradaric,D,Verona
7202,Ndiaye,D,Parma
6537,Goglichidze,D,Udinese
7203,Jashari,C,Milan
697,Cuadrado,D,Pisa
5336,Nzola,A,Pisa
6672,Idzes,D,Sassuolo
2839,Sottil,C,Lecce
6985,Candè,D,Sassuolo
313,Morata,A,Como
7208,Miller L.,C,Udinese
4236,Muric,P,Sassuolo
7209,Sorensen O.,C,Parma
2211,Silvestri,P,Cremonese
5324,Godfrey,D,Atalanta
2076,Rog,C,Cagliari
7211,Athekame,D,Milan
7212,Heggem,D,Bologna
7213,Frigan,A,Parma
6677,Adzic,C,Juventus
